CLINT BARTON," Okay, hold on. Don't shoot. You see where you're going?"
LILA BARTON, Mhm.
CLINT BARTON," Okay, now let's worry about how you get there. Clint corrects his daughter's foot to the proper position, and adjusts her shooting stance."
CLINT BARTON, Here. Can you see?
LILA BARTON, Yeah.
CLINT BARTON, You sure?
LILA BARTON, Mhm. Clint pushes Lila's hair in front of her face while covering her left eye.
CLINT BARTON, How about now?
CLINT BARTON, Alright. Ready your fingers.
COOPER BARTON, Nice.
LAURA BARTON," Nice throw, kiddo."
COOPER BARTON, You go.
LAURA BARTON," Hey, you guys want mayo or mustard, or both? Camera switches to Lila who then proceeds to look at Clint."
LILA BARTON, Who wants mayo on a hotdog?
CLINT BARTON, Probably your brothers.
CLINT BARTON," Uh, two mustard, please! Thanks, mama. Camera switches to Laura facing Nathaniel"
LAURA BARTON, Mayo or mustard?
NATHANIEL BARTON, How about ketchup?
LAURA BARTON, Ketchup? Camera switches back to Clint and his daughter I can do ketchup.
CLINT BARTON," Mind your elbow. Lila releases the arrow and it hits the target directly in the bullseye. Hahaha! Good job, Hawkeye. Go get your arrow."
LAURA BARTON," Hey guys! Enough practice, soup's on!"
CLINT BARTON," Alright, we're coming; we're hungry. Clint looks behind him, but there's no one there, but dust being blown away by the wind. Lila, let's go. Clint starts to look around Lila? Clint starts to move and look around, and pick up the bow she had. Honey? Clint looks around to see Laura and the boys, only they are gone now. He looks seriously panicked and confused as he hurriedly drops the arrows and jogs over to where they were. Hey, babe! Babe? Babe? Boys? Boys? Laura?"
NEBULA," Wrra! Nebula, frustrated, puts her hands in a fighting stance while looking at Tony."
TONY STARK," You don't need to do that. Because uh... you're just holding position. Nebula flicks a paper football towards Tony Oh yeah, that was close. Nebula once again flicks a paper football towards Tony That's a goal. We're now one apiece."
NEBULA, I would like to try again. Nebula flicks a paper football towards Tony
TONY STARK, We're tied up. Feel the tension? It's fun.
TONY STARK, That was terrible. Now you have a chance to win. Nebula flicks the paper football towards Tony
TONY STARK, And... you've won. Congratulations. Tony reaches his hand out to shake Nebula's hand
TONY STARK, Fair game. Good sport. Nebula shakes Tony's hand Have fun?
NEBULA, It was fun.
TONY STARK," This thing on? The helmet scans Tony. Tony leans against the wall while taking deep breaths. He looks skinnier and weak with malnutrition. Hey, Miss Potts... Pep. If you find this recording, don't post it on social media. It's gonna be a real tear-jerker. I don't know if you're ever going to see these. I don't even know if you're... if you're still... Oh god, I hope so. Today is day 21, uh 22. Cut to Tony standing at a window to stare out in space, waiting for his impending doom to arrive. You know, if it wasn't for the existential terror of staring into a void of space, I'd say I'm feeling better today. The infection's run its course, Thanks to the blue meanie back there. Cut to a shot of Nebula sitting in the back of the Benatar. You'd love her. Very practical. Only a tiny bit sadistic. Some fuel cells were cracked during battle, but we figured out a way to reverse the ion charge to buy ourselves about 48 hours of time. A shot of Tony and Nebula working on the fuel cells of the Benatar. But it's now dead in the water. We're 1000 light years from the nearest 7-11. Oxygen will run out tomorrow. And that'll be it. And Pep, I ... I know I said no more surprises, but I was really hoping to pull off one last one. But it looks like... well you know what it looks like. Don't feel bad about this. I mean, if you grovel for a couple of weeks, and then move on with enormous guilt. I should probably lie down. Please know that... when I drift off, I will think about you. Because it's always you."
TONY STARK, Couldn't stop him.
STEVE ROGERS, Neither could I.
TONY STARK, I lost the kid.
STEVE ROGERS," Tony, we lost."
TONY STARK," Is, uh...? Tony struggles to ask about Pepper."
PEPPER POTTS," Oh, my God! Oh, my God! She and Tony embrace."
TONY STARK, It's okay.
JAMES RHODES, It's been 23 days since Thanos came to Earth.
NATASHA ROMANOFF," World governments are in pieces. The parts that are still working are trying to take a census. And it looks like he did... he did exactly what he said he was gonna do. Thanos wiped out fifty percent, of all living creatures."
TONY STARK, Where is he now? Where?
STEVE ROGERS, We don't know. He just opened a portal and walked through.
TONY STARK, What's wrong with him?
ROCKET," Oh, he's pissed. He thinks he failed. Which of course he did, but you know there's a lot of that's going around, ain't there?"
TONY STARK," Honestly, until this exact second, I thought you were a Build-A-Bear."
ROCKET, Maybe I am.
STEVE ROGERS," We've been hunting Thanos for three weeks now. Deep Space scans, and satellites, and we got nothing. Tony, you fought him."
TONY STARK," Who told you that? Surprised I didn't fight him. No, he wiped my face with a planet while the Bleecker Street Magician gave away the store. That's what happened. There was no fight."
STEVE ROGERS, Okay.
TONY STARK, He's unbeatable.
STEVE ROGERS," Did he give you any clues, any coordinates, anything?"
TONY STARK, Pfft! I saw this coming a few years back. I had a vision. I didn't wanna believe it. Thought I was dreaming.
STEVE ROGERS," Tony, I'm gonna need you to focus."
TONY STARK," starting to seethe And I needed you. As in past tense. That trumps what you need. It's too late buddy. Sorry. You know what I need? Tony stands, pushing things off the table with a clatter. Everyone winces at the noise. I need to shave. And I believe I remember telling all youse -"
RHODEY," Tony, Tony, Tony!"
TONY STARK, Alive and otherwise what we needed was a suit of armor around the world! Remember that? Whether it impacted our precious freedoms or not- that's what we needed!
STEVE ROGERS," Well, that didn't work out, did it?"
TONY STARK," I said, ""we'd lose"". You said, ""We'll do that together too."" And guess what, Cap? We lost. And you weren't there. But that's what we do, right? Our best work after the fact? We're the Avengers, we're the Avengers. Not the Prevengers."
RHODEY, Okay.
