JAKE," Ladies and gentlemen, prepare to start clapping, 'cause I just made a major drug bust. Talking about four kilos of cocaine, $200,000 cash, and my new partner, a tarantula. I call him Jake Jr., AKA Spidey Klum, Aka Mrs. Doubtspider, AKA Joe Spiden, AKA Tarantula Basset, AKA Spi-dermot Mulrooney."
BOYLE, AKA Tarantulina Jolie.
KE," What? No, Charles, have you seen this spider? That's a terrible name."
BOYLE, Sorry.
TERRY, Why do you have that thing?
JAKE,"  Because they were gonna throw him away, but I couldn't do that to my furry little—ah! He's actually really scary up close."
TERRY, It's horrifying from everywhere. Terry hates creepy crawlers.
AMY," Seriously, I'm not going to your apartment if that thing is there."
JAKE," All right, fine, then he'll just live here and help me solve crimes. Get used to him, everyone, 'cause me and this spider are partners for life. He's gone. I left the cage unlocked, and he's gone."
AMY, Somebody find him!
BOYLE, Stay off the ground!
ROSA, I'm good.
TERRY, I'm out of here.
JAKE, He couldn't have gone far...Unless he can fly. Can tarantulas fly?
TERRY," Jake, you better find that spider. And I'm not coming back here until you do."
JAKE," Uh, Sarge, I think I found it."
TERRY, Why are you looking at me like that? It's on my head! Screams
JAKE," A whole hour until we testify. Hey, donut holes. Don't mind if I do. Ugh! Fish? Fish donuts, Boyle? What is wrong with you?"
BOYLE," It's takoyaki. I'm drowning my sorrows in octopus balls. I've been online dating; It's a total disaster. I've only had one match, and it was a pretty obvious catfish situation."
YENNIFER, My name Yennifer. You give me social security.
BOYLE," Oh, Yennifer…"
JAKE," Now, I see that as a positive story. Out of all the identities he could have stolen, he chose yours, and you want to know why?"
BOYLE, Because I posted my annual income?
JAKE," Because you posted your annual income, you moron."
GENEVIEVE," Excuse me, is that takoyaki?"
BOYLE," Yeah, from Senka, right down the street."
GENEVIEVE," Oh, I love that place. The chef lets me take octopus hearts home for my dogs."
BOYLE," Oh, lucky! How many dogs do you have?"
GENEVIEVE," Oh, too many. Three."
BOYLE," That's how many I have! All right, wait, quick question. How do you keep them off the bed?"
GENEVIEVE, I gave up. I sleep on the floor.
BOYLE, Me too.
BOTH, It's better for your back.
JAKE, Wow.
BOYLE," Well, nice meeting you."
JAKE, What are you doing? She's walking away.
BOYLE," I got nervous. She eats octopus balls, and she sleeps on the floor. She's the perfect woman."
JAKE," Oh my God. Sorry, I was aiming at somebody else, but now that I have your attention...Charles?"
BOYLE," He was aiming at a terrible cwim—criminal, he probably saved the world. Do you want to have tak-takoyaki at the um, on the bench over there?"
GENEVIEVE," Sure, I was hoping you'd ask."
JAKE," My work here is done. Ugh, still fish. Oh, God."
HOLT," Santiago, thank you for coming in. It's no secret the NYPD has an image problem."
AMY," Yeah, when I told my garbage man I was a cop, he said, ""Gross."" He had someone else's band-aid stuck to him."
HOLT," Police approval ratings are,pardon my language, in the commode. All the headlines are about the bad cops, but there are good cops too, and I want to put up posters that showcase some of our best. I'd like you to be on the first one."
