HOLT," Good morning, Boyle. It's Halloween; I'm surprised you didn't put on a costume."
BOYLE," I was going to, sir, but then I decided screw that jazz. Well, I'm the only one who ever dresses up, no one ever gets my costume, and they make fun of me, so I'm done. These people don't deserve my dress-up gifts."
JAKE," Charles, seriously? No costume?"
TERRY," What the hell, Charles? Where's your Halloween spirit?"
BOYLE, But you guys always make fun of me.
GINA," I have never once insulted you in my life, especially vis-á-vis your appearance."
ROSA," Yeah, man, we always love your costumes."
JAKE," Remember last year, when you came as that...person and/or thing?"
BOYLE," Yes, I do remember! Sir, permission to sprint to my car and get my emergency costume?"
HOLT, Does it matter if I say no?
BOYLE, No!
BOYLE," A-bam, bam, boom. What—the what—"
ROSA, Why are you dressed up? You look like an idiot.
BOYLE, But—but—
AMY," Yeah, what are you supposed to be, a sassy car mechanic?"
JAKE," No, come on, he's clearly the rejected Pop-Tarts mascot, Harry Pop-Tart."
BOYLE, I am not! You know who I am!
HOLT," Squad, that's enough. You're making Boyle feel bad on purpose. He's Elvis."
BOYLE, Yes!
HOLT," Elvis Stojko, the Canadian figure skater."
BOYLE, No!
JAKE," Attention, squad"
HOLT, I never agreed to that.
JAKE," All right. As you may know, for the past two years, Captain Holt and I have engaged in an epic battle of wits. The goal"
HOLT," The first year, by sheer, dumb luck, Jake eked out a feeble victory."
JAKE," And last year, I let the captain win, because he's old and sad."
HOLT, Sad because the competition was so dismal.
TERRY, Is this meeting about something?
JAKE, It's about everything.
HOLT," This year's the tie-breaker, a final heist to decide once and for all the true king of the Nine-Nine."
JAKE, Halloween Heist III
HOLT," This year, we both attempt to steal the same object, instead of Jake attempting to steal one from me."
JAKE," I gave you one direction on the tagline—snappy. But yes, we will be attempting to steal the same item"
HOLT," ;The crown will be locked in this briefcase, which in turn will be locked in the interrogation room."
JAKE," And so unto the briefcase goes the crown...Didn't sing it with me. We will need help, so to be fair, we're holding a draft. The captain and I have given up our overtime, so everyone who participates will get the night off. Captain?"
HOLT," With the first pick of the draft, I choose Terry."
AMY," Okay, brawn over brains."
JAKE," All right, I take Charles."
AMY, I get it. Close friend.
HOLT, I pick Gina.
AMY, Gina?
JAKE, I take Rosa.
AMY," What? Okay, all right. Well, Captain that leaves me with you.  Let's do this."
HOLT," Hang on, Santiago. I'm not sure I can trust you. You're Peralta's paramour. Maybe you should be on his team."
JAKE," No, no, no. Amy would do anything to win your approval, including pretending to be in a relationship with me for the past few weeks, only to betray me now."
AMY," Jake, you are majorly overthinking this."
JAKE," Maybe, but it's a risk I'm not willing to take.  You're not on my team, Amy."
HOLT," Yeah, Amy's out. By midnight, whoever has the crown will be the king of the Nine-Nine."
SCULLY," Uh, Hitchcock and I still haven't been chosen."
HOLT, I'm good.
JAKE, Me too.
BOYLE," So, I see you've been assigned to guard the briefcase too."
GINA," Yup. I'm not supposed to let it or you out of my sight, if that even is you."
BOYLE," Ow, that's my face!"
GINA," Oh, sorry, I thought it was a cheap, rubber mask."
BOYLE," Well, I have exciting news. I found the perfect guy to set you up with."
GINA," After zero consideration, I'm happy to say, ""hard pass."""
BOYLE, Come on. Our parents are married. Genevieve and I are dating. I want you to have someone too. You shouldn't have to slowdance alone after family dinner.
GINA," How did my life come to this? Charles, it's very sweet that you want to set me up with someone, but I do not trust your taste in guys at all."
BOYLE, I have spectacular taste in men. You would love Nadia.
GINA, His name is Nadia?
BOYLE," Oh, all of a sudden Nadia's not a cool name? You are impossible."
JAKE," Here, got it?"
ROSA, Got it.
AMY," Hey, Jake. Can we talk?"
JAKE, Yeah.
AMY, You really hurt my feelings by leaving me off your team.
JAKE," Oh, I had no idea you felt that way."
AMY," Well, it doesn't feel great to be left out."
JAKE," Right, totally, I get it. I'm sorry...Captain Holt!"
AMY, What? Why are you yelling at my boobs?
JAKE," Because that's where the camera is. Nice try, Ray-Ray!"
AMY," There's no camera, Jake. I was being serious."
JAKE," Okay fine—if you're telling the truth, then I sincerely apologize. But since you're not, I will defeat you! Ahhh! Gah! Scary witch! Scary, so scary!"
ITCHCOCK," Amy, don't feel bad. You can get in on my bet with Scully. At midnight tonight, we will steal his foot fungus cream."
AMY," Thanks, that's very kind of you to include me, but I'll have to pass."
SCULLY, The mind games have already begun.
AMY," No, I'm not part of this."
HITCHCOCK," Oh, of course not. Neither am I. Wink."
AMY, Ugh.
GINA, I'm not going to meet my next boyfriend through a Charles set-up. I'm going to meet him in an illegal dance competition in an abandoned subway tunnel.
ROSA," It's go time, Boyle. Holt and Terry have closed the blinds. Release the roaches."
GINA," Alternately, he could win an illegal street race in which my love is the prize."
BOYLE," Oh my God! Gina, look! Roaches!"
GINA," Ew, Charles, kill them with whatever cologne you're wearing!"
BOYLE," No, I can't! They're moving too fast! I can't kill them! It's pandemonium!"
GINA," If I die, turn my Tweets into a book!"
