DOZERMAN," Hello. I'm your new commanding officer, Captain Seth Dozerman. My motto is simple"
JAKE, Could probably just say it once.
DOZERMAN, Are you making fun of my stutter?
JAKE," Oh, uh..."
DOZERMAN," Tricked you. I don't have a stutter. Boom, I've already established my authority through my amazing sense of humor."
TERRY," Well done, sir. Welcome to the Nine-Nine. I'm Sergeant Terry Jeffords."
DOZERMAN, And I'm not interested. I have no use for people. I find people weird and confusing. I live my life by numbers. You see this watch? It tells me how many calories I burn at any time. Question
AMY," Oh, uh, three?"
DOZERMAN," Three? Ah-ha-ha-ha-ha-ha! Try 0.8, numbnuts. I have made promises to my superiors that I most certainly cannot keep. That's why I need you idiots to work twice as hard. No, no, strike that. Four times as hard. No, no, no, strike that. I need you morons to work eight times harder than you've ever worked in your entire life! I'm having a heart attack. Yeah, I'm having a heart attack. Get back to work."
TERRY, Get a doctor!
JAKE," Yeah, I'm just gonna make some copies in here. Perfect cover. Nailed it. So apparently, the new captain survived, and his heart attack not the craziest thing that happened at the precinct today. We kissed, like, three hours ago."
AMY," Yes, we did kiss each other, for reals."
JAKE," For reals-reals. Listen. I know you said you don't want to date cops, but I really like you."
AMY, I like you too.
JAKE, Good.
AMY, But what if we start dating and it makes things weird at work?
JAKE," So let's just keep it light and breezy, see where it goes."
AMY, Totally. Yeah. So how do we keep it light and breezy? I know. A comprehensive set of rules.
JAKE," How am I attracted to you? Doesn't matter, I am. Go."
AMY," Rule one, let's not tell anyone so we can figure out what this is first."
JAKE," Smort. Rule number two, let's not put labels on it. We're not boyfriend and girlfriend, we're just ""mrmmzeep"" and ""jinglebin."""
AMY," Great. Rule number three, let's not have sex right away."
JAKE," Cool, cool, cool, cool, cool, cool...No doubt, no doubt, no doubt, no doubt. Good rule. No sex, good rule."
AMY," So, should we go out tonight?"
JAKE," Yeah, totally. Maybe 8"
AMY, Totally light and breezy. No!
TERRY, Briefing room. Five minutes.
JAKE," Wow, very chill."
HOLT, Wuntch.
WUNTCH," Hello, Raymond. You're looking old and sickly."
HOLT," So nice of you to greet us, Madeline. I thought surely you'd still be crushed under that house in Munchkinland."
WUNTCH," Sticks and stones, Raymond."
HOLT," Describing your breakfast? I came out as a gay cop in the 1980s, so it's gonna take more than reassigning me to break my spirit. I'll turn this place around just like I did the Nine-Nine."
WUNTCH," I doubt that. Everyone, this is your new commanding officer, Raymond Holt. He's going to be with you for a long, long time."
HOLT," Thank you, Chief Wuntch. I'm excited to be back. I look forward to doing meaningful work, beginning with my eight-point plan for community engagement."
WUNTCH," Wonderful. But no new initiatives until you finish the meaningful work that's already in progress here. Could be a while, Raymond. They're trying to come up with a name for the NYPD's new pigeon mascot."
HOLT," Oh, no."
GINA, What? Naming a pigeon? How long could that possibly take?
WUNTCH, They've been at it for months. I love my life.
JAKE," Holy Moses, he's alive."
