French Narrator," Ah, the sea...So fascinating. So wonderful. Here, we see Bikini Bottom, teeming with life. Shows from left to right Patrick's, Squidward's, and SpongeBob's houses. Zooms in on SpongeBob's house Home to one of my favorite creatures, SpongeBob SquarePants. Yes, of course he lives in a pineapple, you silly. SpongeBob's alarm sounds; he wakes, but is unaffected by the annoying sound, and with a smile turns it off. He climbs from his bed to a ladder leading to his diving board"
,
SpongeBob," Today's the big day, Gary!"
,
Gary, Meow.
,
SpongeBob," Jumps on the diving board Look at me, I'm€¦ Jumps up, and leaves his underwear behind ...naked! Lands inside pants, walks over to exercise room. His head pops out of the top of his pants Gotta be in top physical condition for today, Gary."
,
Gary, Meow.
,
SpongeBob," He goes inside his small gym that has a sign that says, ""I Love Pain"". Taking deep breaths, he prepares to lift a barbell that is balanced by two lightweight stuffed animals. He sticks out his chest, but almost passes out because he can barely lift it. He drops it, and it makes a 'squeak' noise I'm ready! Runs outside I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready! Patrick Star's rock tilts upwards with Patrick stuck to its underside"
,
Patrick," Go, SpongeBob! Patrick falls Whoa! Crash!"
,
Spongebob, I'm Ready... I'm Ready... I'm Ready... I'm Ready... SpongeBob SquarePants theme song starts
,
Announcer, SpongeBob SquarePants!
,
SpongeBob," Runs down the street to the Krusty Krab There it is. The finest eating establishment ever established for eating. The Krusty Krab, home of the Krabby Patty. With a 'Help Wanted' sign in the window! For years I've been dreaming of this moment! I'm gonna go in there, march straight to the manager, look 'Im straight in the eye, breaks the fourth wall and looks the audience in the eyelay it on the line and€¦ I can't do this! He starts to run home but Patrick stops him Uh, Patrick!"
,
Patrick, Where do you think you're going?
,
SpongeBob, I was just...
,
Patrick, No you're not. You're going to the stripclub and get that job!
,
SpongeBob," I can't, don't you see? I'm not good enough!"
,
Patrick," Whose first words were ""may I take your order""?"
,
SpongeBob, Mine were.
,
Patrick, Who made a spatula out of toothpicks in wood shop?
,
SpongeBob, I did.
,
Patrick," Grimaces and contorts twice while trying to come up with a good third line Who's a, uh who's uhh. oh! who's a big yellow cube with holes?"
,
SpongeBob, I am!
,
Patrick, Who's ready?
,
SpongeBob, I'm ready!
,
Patrick, Who's ready?
,
SpongeBob, I'm ready!
,
Patrick, Who's ready?
,
SpongeBob, I'm ready! I'm ready! I'm ready! I'm ready! Runs toward the Krusty Krab
,
Squidward," Cleaning graffiti of himself with the word Loser, sees SpongeBob, and sighs Oh no, SpongeBob. What could he possibly want?"
,
SpongeBob," In background, at first while Squidward was talking I'm ready! I'm ready! I'm ready! I'm ready! I'm ready! I'm ready! Go SpongeBob! Go SpongeBob! Go SpongeBob! Go self! Squidward looks at the Help Wanted sign and runs inside"
,
Squidward," While SpongeBob says, ""I'm ready"" one more time in the background Mr. Krabs! Cuts to the ordering window, where Mr. Krabs is happily sniffing a handful of money. Squidward runs up to him Hurry, Mr. Krabs, before it's too late, I gotta tell you.interrupted by SpongeBob"
,
SpongeBob," Permission to come aboard, captain! deep voice I've been training my whole life for the day I could join the Krusty Krew, normal voice And now I'm ready. SpongeBob trips on a nail stuck in the floorboard. His fall causes him to bounce against the ceiling, SpongeBob shouts and blurts incomprehensibly while his bounces and ricochets around the building accelerate. He then rolls to a stop at the feet of Squidward and Mr. Krabs So, uh, when do I start?"
,
Mr. Krabs," Well lad, it looks like you don't even have your sea legs."
,
SpongeBob," Mr. Krabs, please. Ill prove I'm fry cook material. Ask Squidward, he'll vouch for me.Mr. Krabs and Squidward quickly walk away from SpongeBob"
,
Squidward, deep breath No. Mr. Krabs winks. They head back to SpongeBob
,
Mr. Krabs," Well lad, well give you a test, and if you pass, you'll be on the Krusty Krew! Go out and fetch me... SpongeBob takes out a notepad a, uh, hydrodynamic spatula...SpongeBob quickly jots down what he says with, um, port-and-starboard-attachments, more scribbling and, uh... turbo drive! more scribbling And don't come back till you get one! Mr. Krabs puts a Krusty Krab crew hat on SpongeBob. SpongeBob sees how he looks in a mirror, there are sparkles on his hat, and he has a huge, satisfied smile"
,
SpongeBob," saluting Krabs Aye aye, captain! reading One hydrodynamic spatula, with port-and-starboard attachments, turbo drive, coming right up, Sir!"
,
Mr. Krabs, Carry on! SpongeBob leaves We'll never see that lubber again.
,
Squidward," You're terrible! A hydro-what? Squidward and Mr. Krabs laugh. While Squidward laughs, his nose moves distinctly while he inhales and exhales. Krabs laugh sounds like a pirate. As they laugh, SpongeBob is shown leaving the Krusty Krab. As SpongeBob fades out of sight, five buses drive toward the Krusty Krab from the opposite direction"
,
Bus Driver," Hey! Hey! Please! Passengers are to stay seated and put their hands out the window!The buses surround the Krusty Krab and the doors open, Mr. Krabs stops laughing"
,
Mr. Krabs, That sounded like hatch doors! sniffs repeatedly Do you smell it? That smell. A kind of smelly smell. A smelly smell that smells smelly. bulgy eyes Anchovies.
,
Squidward, What?
,
Mr. Krabs," Anchovies! Anchovies get out of the buses and rush inside the Krusty Krab, crowding, repeating the word ""meep"" over and over again"
,
Squidward," Please, please, quiet! anchovies stop talking Is this any way to behave, hmmm?"
,
Anchovy, Meep!
,
Squidward," Could we show a little decency and form a neat, single file line in front of the register?The anchovies are quiet at first, then pick up the boat, as their cries of ""meep!"" become more intense. Cut to Barg'N-Mart as SpongeBob enters"
,
SpongeBob," singing to himself Barg'N-Mart, meeting all of your spatula needs. Cuts to the Krusty Krab. Squidward and Mr. Krabs are still in the boat, and being tossed around"
,
Mr. Krabs, All hands on deck! Get your anchors out of your pants!
,
Squidward, One single file line was all I asked!
,
