TERRY," Okay, squad, the funeral's at 3"
VULTURE," Yeah, and all eyes are gonna be on us because Frick and Frack here killed Captain Dozerman."
JAKE," Hey, we accidentally startled a man with a genetic heart condition. If you really think about it, his parents killed him."
VULTURE," All right, whatever. Look, there's a horse race going off in Dubai. I got serious money on it. Dismissed."
JAKE," Oh, yeah, we should all check out that race. God. He is the worst captain we've ever had. He drew boobies on my bulletproof vest."
ROSA, He stared at me for 90 seconds while he ate an entire peach.
AMY," He heard that I speak Spanish, and he made me fire his housekeeper. She was Polish."
BOYLE, At least he doesn't practice his crane kicks with you.
VULTURE, I said not to move!
BOYLE, I didn't move.
AMY," Listen, guys. Jake and I were talking last night."
BOYLE, Pillow talk alert! Set the scene. Spooning or face-to-face?
JAKE, Charles.
BOYLE, Spooning.
AMY," Anyway, we came up with a plan. Jake is going to...befriend the Vulture so he lays off of us."
JAKE," It's true. I'm gonna bro down with him. If everything goes according to plan, we should be beer pong doubles partners by the end of the week. Now somebody get me a puka shell necklace. I'm going full douche."
JAKE," Okay. Hey, 'sup, bro?"
VULTURE,"  'Sup, Jake?"
JAKE, Got a little update for you on that Deberg assault case. Turns out the victim's wife was super hot.
VULTURE," Yeah, I read the file. She's a mom. Not interested."
JAKE," True that. So listen, I've been thinking. We got off on the wrong foot here. And I believe it's 'cause we're just too damn similar."
VULTURE, You do?
JAKE, Absolutely. We both love premium tequila…
VULTURE,  Yeah.
JAKE, Robin Thicke...
VULTURE," Oh, yeah."
JAKE, Gots to have my puks.
VULTURE, Gots to.
JAKE," And of course, nip slips."
VULTURE," Let me ask you a question, Jake. You also like Okinawan martial arts? Because you left this in my back."
JAKE, Hmm?
VULTURE," What I'm saying, Einstein, is that you stabbed me in my back."
JAKE, How so?
AMY’S VOICE, We came up with a plan. Jake is going to befriend the Vulture so he lays off of us.
VULTURE, Busted. I knew that you were faking it. I'll bet you don't even like nip slips!
JAKE," So, what, you bugged the briefing room?"
VULTURE," No, Scully butt-dialed me yesterday and he still hasn't hung up."
JAKE," Once again, Scully's butt is the downfall of this precinct."
VULTURE," Look, Jake, I know that you and Santiago are trying to take me down. You guys go home, you lay in bed together, you plot against me. Well, no longer. I want you to dump Santiago, and that's an order."
JAKE, What? You can't do that. It's completely against the rules.
VULTURE," Okay, Sonia Sotomayor. I would never break the rules. But what I could do, for totally ""unrelated reasons,"" is have you busted back down to a beat cop."
JAKE," No, don't do that, all right? I can learn to love nip slips."
VULTURE," No, you either love them, or you don't. It's too late. You dump Santiago, or you kiss that detective badge good-bye. Beat it."
GINA, First time back in the Nine-Nine.
HOLT, Mm.
GINA," I really miss these people, the whole crew. Jake, Terry, bleh. I forget all their other names."
HOLT," Just remember, we're here as PR representatives. I don't wanna be disruptive."
GINA," Too bad. We're like rock stars to these people. They're gonna go nuts, just like hah! Haah!"
HOLT, I would hate it if these doors opened and everyone stopped working to applaud us.
GINA," Hmm, nothing. You must be loving this."
HOLT, Yes.
AMY, What? He's ordering us to break up?
JAKE," Look, we can deal with this. We just need a new plan."
AMY," I got it. We lie, tell him we broke up, and then date in secret."
JAKE, Great! And you'd be okay lying to your captain?
AMY," Okay, new plan."
JAKE, Uh-huh.
AMY, Captain Holt is here today.
JAKE," Yes, genius! He loves us, and he's got tons of sway in the department."
AMY, He'll tell the Vulture to back down.
JAKE," Yeah, he'll be all ""Vulture, I must insist that you desist."""
AMY," I really think this is gonna work. Also, if you ever want to bust out that Holt impression at home, I'd be okay with that."
JAKE," Oh, okay. Duly noted, super disturbing, but I'm definitely gonna do it."
BOYLE," Hey, G-spot!"
GINA," Rosa, Charles, oh, I missed you guys so much."
ROSA," Really? 'Cause when you left, you made a pretty big deal of deleting us from your phone."
GINA," Girl, that was just the showman in me. PR is so boring. I need some Nine-Nine drama, stat."
ROSA, I don't think we're that dramatic.
GINA," I've been gone one week. Jake and Amy are dating, and they've killed a person. Come on, Charles. You got to have something weird and tragic going on."
BOYLE," Nope. Not unless you call hooking up with a girl at a funeral ""weird and tragic."""
GINA, Home run!
BOYLE," Her name is Lieutenant Singh. She's super hot. We were seated next to each other two funerals ago. And there was hard eye contact all through ""Danny Boy."" Last funeral, we made out in the parking lot. This time...something naughty this way comes."
ROSA, Ugh. What do you even know about this person?
