VULTURE," All right, ladies, I don't got a whole lot of time here, so what do you say we make like Boyle's mom and you debrief me?"
BOYLE," Didn't happen, and I should know. She tells me everything."
VULTURE," Yeah, not everything, Chucky. She took off my undies. Hey, Peralta. What is that?"
JAKE, This?
VULTURE, Yeah.
JAKE," Oh, nothing. Just an open-and-shut case."
VULTURE," Well, it looks like a pretty fat file for a dunker. What is it?"
JAKE, Just some old lady has a missing...torso...that we can't find.
VULTURE, Put it in the Major Crimes pile.
JAKE, But we've already given them all of our felonies.
VULTURE," It's because I got a bet going with the captain of the A4 to see whose squad can solve the most cases. Winner gets to choose a tattoo for the loser, and guess what I'm getting him."
JAKE, Calvin peeing on the Tasmanian Devil?
VULTURE," No, it's supposed to be a bad tattoo. Man, you're really stupid in the morning, aren't you?"
TERRY," Captain, we all want you to win that bet, but do you think maybe we could keep a few real cases?"
VULTURE," Look, I'm gonna keep it real simple for you. We only solve misdemeanors, wieners. Say it."
ALL, We only solve misdemeanors...Wieners.
VULTURE, Congratulations. You just called yourselves wieners. Dismissed.
GINA, Good morning.
HOLT, For whom?
GINA,"  For you-m. Okay, I can't keep lying. Wuntch is here."
WUNTCH," Oh, there it is. The shriveled husk of Raymond Holt."
HOLT," Look, Gina, is that a talking raisin?"
WUNTCH, Enough foreplay. I'm here to discuss the department's new smuggling task force.
HOLT," The task force? Oh, I thought you'd be handing me another vapid PR assignment."
WUNTCH," I am. We need to choose a phrase to replace the phrase ""task force."" Our research suggests it's too aggressive."
GINA, What? I like it. “Task force” sounds like some sort of body spray for hot dudes.
WUNTCH," Oh, and, um, one more thing. Since your little stunt with the subway poster, I think you could use some supervision. Bob will be keeping an eye on you."
BOB," It's gonna be fun, Ray."
HOLT, But I'm his boss.
WUNTCH," Oh, ouch. How demeaning."
JAKE," Oh my God. Oh my God, oh my God, oh my God, oh my God. Sarge, you got to check this out."
TERRY," Jake, what are you doing? We can't work real cases. This is a B and E."
JAKE," Oh, it's so much more than that. Look at these photos. Perp came in through the back window, set up the living room to look like a kid's tea party, didn't steal anything. Do you know what this means?"
TERRY, The victim still has their stuff?
JAKE," The perp wasn't there to take anything except lives. Sorry, I always wanted to say that. I think this is the work of the Oolong Slayer."
TERRY," Seems like a stretch. If this is the Oolong Slayer, why isn't there a body?"
JAKE," I don't know, maybe he got spooked before the vic got home, or it could be…"
TERRY," Jake, you want a case so bad, you're making one up. Look, the slayer hasn't struck in five years. Chief Garmin set up a task force to find the guy and turned up nothing, and most importantly, the Vulture's orders were ""only misdemeanors, wieners."""
JAKE, Why do you follow people's directions when you could literally pick them up and throw them out the window? Hmm?
VULTURE," Whoa, whoa, whoa, whoa, whoa. Was that the sound of a juicy file I heard plopping down on Peralta's desk? Yeah, it was. You just lost your overtime privileges for the month. Everybody, listen up. Anyone caught working on a case that I didn't assign loses their overtime. Capooch?"
ALL, Capooch.
JAKE," Capooch. Uncapooch. You didn't say ""no take backs."""
VULTURE," Ah, there you are. I got something real special for the two of you."
AMY," Great, what do you got?"
VULTURE," A month from today is my birthday. I need you to throw me a party, all right? Make it epic, surprise me."
AMY, Are you asking us to plan you a birthday party?
VULTURE," Yeah, Helen Keller. Pay attention."
ROSA, Did you choose us because we're women?
VULTURE, Women love planning parties. It's in the Bible.
AMY, Unbelievable. What a waste of time.
ROSA, Disagree. This is an amazing use of time. We have complete control over that dummy's birthday party. We can ruin it.
AMY," Yeah, fun. I'll just mess up a captain's orders on purpose. It'll be so...I can't even fake it."
TERRY," Yeah, baby, I can pick up the crib, right after I get the groceries and before I start painting the nursery. Yeah, I can draw a cloud. I don't need a stencil. Okay, I'll get the stencil. Look, I don't know when I'll be home. I'll text you, okay? Ugh, all this paperwork is gonna straight-up kill me. How are you so chipper?"
BOYLE," Oh, simple. I eat a cacao nib every time I close a case."
TERRY, A what?
BOYLE," A cacao nib. They're these happy little chocolaty delights from deep in the Peruvian rainforest. Here, try one."
TERRY, Do I look like a man who snacks?
BOYLE," You look like eight circles with suspenders on. But these aren't bad for you. They're full of fiber and antioxidants. Go ahead, try one."
TERRY," Okay, fine. Just one."
BOYLE, Mm-hmm.
TERRY," Damn, these are good."
BOYLE," And plus, they're organic and fair trade."
TERRY, Terry loves responsible agricultural practices. Mmm.
GINA," Uh-oh. Jake, you should not be here IRL."
JAKE," Gina, my old friend who I grew up with. So good to see you, and I have missed you so much. Is Holt in?"
GINA," Yes, of course he is, but he's in a meeting, and you can not be seen stopping by for chits and/or chats. You need to leave."
JAKE," Gina, I'm not here to waste his time, all right? I have an extremely dope, possibly even disgusting case, and I need to discuss it with him."
GINA," A case? Extra no. If Wuntch finds out he's working on a case, she will punish him. She's on the warpath right now, Jake. The warpath."
JAKE," Okay, copy that. Loud and clear. Don't want to cause a problem. I will skraight-up skedaddle with no further a-do-do."
JAKE, Bird noise
HOLT, What's going on?
JAKE," Well, Gina said we couldn't be seen together, and I need your help. Looks like we've both got a pretty bad case of jerk boss."
HOLT," Yes, yours is an idiot, and mine is a fork-tongued lizard witch. The Oolong Slayer. He's back."
JAKE," I knew you would confirm my hunch. He's back to his cool-ass psycho ways. Great news, right? Aside from a serial killer being on the loose."
HOLT, What's your plan?
JAKE, I'm gonna work the case in secret.
HOLT, Wrong. We're gonna work the case in secret.
JAKE, Holy crap.
HOLT," No one can know about this, understood?"
JAKE, Understood.
GINA, Understood. What? I hang out in the men's room all the time. The acoustics are amazing.
HOLT," If I recall correctly, the Oolong Slayer last struck five years ago. He left behind no DNA or fingerprints, but he did leave his calling card, a tea bag in his victim's mouth."
